name,adress,zip,city,abn,ecabo,activity,email,comment
ACE Online BV,Leidsestraat 21I,1017NT,Amsterdam,ABN,J,Juweliers,Tamarah@ace.am,
Actacom,Maarsenbroeksedijk 51A,3542 DM,Utrecht,A,J,Softwareontwikkelaar,w.spaans@actacom.nl,
Active Collective BV,Wijkermeerweg 42A,1948NW,Beverwijk,A,J,,raymond.martens@activecollective.nl,
Adaptive Services,Zijlweg 133a,2015BE,Haarlem,A,J,,info@uwsupermarkt.nl,Webbouwers ook hardware erg divers
Allegro,Anderlechtlaan 179a,1066HM,Amsterdam,N,J,Automatiseringsbedrijf/Helpdesk,ivanoostrom@allegro.nl,
Allserve Automatisering BV,Zwarteweg 110A,1431VM,Aalsmeer,BN,J,Automatiseringsbedrijf,info@allserve.nl,
Application Builders,De Parelvisserslaan 1,1183 RH,Amstelveen,A,J,Automatiseringsbedrijf,info@applicationbuilders.nl,
Argo Media Groep,Energieplein 8,2031TC,Haarlem,,J,Media/tijdschriften/boeken,y.buwalda@oor.nl,"Mail aan Yorick gestuurd, zoekt zelf Media"
Arkin,Klaprozenweg 111,1033NN,Amsterdam,B,J,Geestelijke Zorg en Verslavingszorg,aart.vande.beek@arkin.nl,
Audio Gil,Perez Galdoz 7,120002,Catellon,ABN,J,Espanja,,
B-Mate,Rijksstraatweg 519,2025DE,Haarlem,B,J,computerwinkel en services,frans@bmate.nl,
Bdexx,PrinsHendrikkade 22B,1012TM,Amsterdam,A,J,,hhb@bdexx.com,020 716 3500
Bircon Networks,Poortland 30,1046BD,Amsterdam,AN,N,IT Hardware leverancier,a.durmus@bircon.com,Nivo 4
Blitskikker,Zijlweg 133A,2015BE,Haarlem,A,J,Marketing en hosting,info@blitskikker.nl,
Bloembollen Keurings Dienst (BKD),Zwartelaan 2,"3,333,333,333,333,330,000,000,000,000,000,000,000,000.00",Lisse,BN,N,Keurinsburo,ict@bkd.eu,
Bonhoeffer College,Pieter Kieftstraat 20,1902RA,Castricum,BN,N,School,p.wiegmans@bonhoeffer.nl,"Geen plek, te specialistisch"
BSHG,Taurusavenue 32,2132 LS,Hoofddorp,B,J,huish. App,erik.weijzig@bshg.com,
Buildnet,Kinderhuissingel 126,2013AW,Haarlem,A,J,,sander@buildnet.nl,
020ComputerHulp Amsterdam,Herengracht 203,1017BV,Amsterdam,B,A,,info@020computerhulp.nl,
Cameramanager.com B.V,Hogehilweg 19,1101CB,Amsterdam,,J,Camerabeveiliging,administratie@camaramanager.com,
CDDN,Drachmeweg 141,2153PA,Nieuw-Vennep,A,N,,,
Centa,1e Havendwarsstraat 12,2182DZ,Lisse,ABN,J,Opleidingen,info@centa.nl,
Centrum (Instituut het),Vermeerstraat 56,2525VM,Den Haag,A,J,,ihc-denhaag@hetcentrum.net, 
Chess IX,Lichtfabriekplein 1,2031TE,Haarlem,A,J,,hr@chess-ix.com,
