name,adress,zip,city,applicatie,beheer,netwerk,ecabo,activity,email,comment
ACE Online BV,Leidsestraat 21I,1017NT,Amsterdam,TRUE,TRUE,TRUE,TRUE,Juweliers,Tamarah@ace.am,
Actacom,Maarsenbroeksedijk 51A,3542 DM,Utrecht,TRUE,FALSE,FALSE,TRUE,Softwareontwikkelaar,w.spaans@actacom.nl,
Active Collective BV,Wijkermeerweg 42A,1948NW,Beverwijk,TRUE,FALSE,FALSE,TRUE,,raymond.martens@activecollective.nl,
Adaptive Services,Zijlweg 133a,2015BE,Haarlem,TRUE,FALSE,FALSE,TRUE,,info@uwsupermarkt.nl,Webbouwers ook hardware erg divers
Allegro,Anderlechtlaan 179a,1066HM,Amsterdam,FALSE,FALSE,TRUE,TRUE,Automatiseringsbedrijf/Helpdesk,ivanoostrom@allegro.nl,
Allserve Automatisering BV,Zwarteweg 110A,1431VM,Aalsmeer,FALSE,TRUE,TRUE,TRUE,Automatiseringsbedrijf,info@allserve.nl,
Application Builders,De Parelvisserslaan 1,1183 RH,Amstelveen,TRUE,FALSE,FALSE,TRUE,Automatiseringsbedrijf,info@applicationbuilders.nl,
Argo Media Groep,Energieplein 8,2031TC,Haarlem,FALSE,FALSE,FALSE,TRUE,Media/tijdschriften/boeken,y.buwalda@oor.nl,"Mail aan Yorick gestuurd, zoekt zelf Media"
Arkin,Klaprozenweg 111,1033NN,Amsterdam,FALSE,TRUE,FALSE,TRUE,Geestelijke Zorg en Verslavingszorg,aart.vande.beek@arkin.nl,
Audio Gil,Perez Galdoz 7,120002,Catellon,TRUE,TRUE,TRUE,TRUE,Espanja,,
B-Mate,Rijksstraatweg 519,2025DE,Haarlem,FALSE,TRUE,FALSE,TRUE,computerwinkel en services,frans@bmate.nl,
Bdexx,PrinsHendrikkade 22B,1012TM,Amsterdam,TRUE,FALSE,FALSE,TRUE,,hhb@bdexx.com,020 716 3500
Bircon Networks,Poortland 30,1046BD,Amsterdam,TRUE,FALSE,TRUE,FALSE,IT Hardware leverancier,a.durmus@bircon.com,Nivo 4
Blitskikker,Zijlweg 133A,2015BE,Haarlem,TRUE,FALSE,FALSE,TRUE,Marketing en hosting,info@blitskikker.nl,
Bloembollen Keurings Dienst (BKD),Zwartelaan 2,3333333333333330000000000000000000000000,Lisse,FALSE,TRUE,TRUE,FALSE,Keurinsburo,ict@bkd.eu,
Bonhoeffer College,Pieter Kieftstraat 20,1902RA,Castricum,FALSE,TRUE,TRUE,FALSE,School,p.wiegmans@bonhoeffer.nl,"Geen plek, te specialistisch"
BSHG,Taurusavenue 32,2132 LS,Hoofddorp,FALSE,TRUE,FALSE,TRUE,huish. App,erik.weijzig@bshg.com,
Buildnet,Kinderhuissingel 126,2013AW,Haarlem,TRUE,FALSE,FALSE,TRUE,,sander@buildnet.nl,
020ComputerHulp Amsterdam,Herengracht 203,1017BV,Amsterdam,FALSE,TRUE,FALSE,TRUE,,info@020computerhulp.nl,
Cameramanager.com B.V,Hogehilweg 19,1101CB,Amsterdam,FALSE,FALSE,FALSE,TRUE,Camerabeveiliging,administratie@camaramanager.com,
CDDN,Drachmeweg 141,2153PA,Nieuw-Vennep,TRUE,FALSE,FALSE,FALSE,,,
Centa,1e Havendwarsstraat 12,2182DZ,Lisse,TRUE,TRUE,TRUE,TRUE,Opleidingen,info@centa.nl,
Centrum (Instituut het),Vermeerstraat 56,2525VM,Den Haag,TRUE,FALSE,FALSE,TRUE,,ihc-denhaag@hetcentrum.net, 
Chess IX,Lichtfabriekplein 1,2031TE,Haarlem,TRUE,FALSE,FALSE,TRUE,,hr@chess-ix.com,
